Id,Hora de inicio,Hora de finalización,Correo electrónico,Nombre,Edad,¿En que tipo de trabajo estas involucrado/a?,¿Eres padre/madre?,"Si contestaste que si a la pregunta anterior, eres padre/madre soltero/a",¿Cuantas veces a la semana tienes tiempo suficiente para cocinar en casa,¿Por que no cocinas con frecuencia?,"¿Que tan seguido compras comida rápida o procesada (refrescos, dulces, snack, etc.) en tiendas de abarrotes?","Cuando compra snacks o alimentos para consumo inmediato, ¿qué suele priorizar?
","¿En qué situaciones la comida rápida se siente como la única opción viable para ti
","Qué tan de acuerdo está con la siguiente frase? 'Para mí es más importante saciar el hambre rápido y barato que buscar la opción más nutritiva'.
",Cuando piensas en preparar una comida saludable en casa ¿Que es lo primero que te desmotiva?,¿Estarias dispuesto/a a cambiar tus hábitos alimenticios si tuvieras mas tiempo o recursos?,¿Que soluciones crees que podrían ayudar a mejorar los hábitos alimenticios de tu familia?,"¿Estarías interesado/a en recibir ayuda o recursos sobre cómo mejorar la alimentación en tu hogar?
", ¿Por qué no cocinas con frecuencia?,"¿Qué tan seguido compras comida rápida o procesada (refrescos, dulces, snacks, etc.) en tiendas de abarrotes?  ",¿A menudo le das dinero a tus hijos/as para que compren comida en tiendas de abarrotes?,"Si le das dinero a tus hijos/as, ¿Que tipo de alimentos suelen comprar?",¿Qué tan preocupado/a estás por el impacto de una dieta poco saludable en tus hijos/as?  ,Haz notado algún cambio en la salud de tus hijos/as debido a una mala alimentación,¿Estarias dispuesto/a a cambiar tus hábitos alimenticios si tuvieras mas tiempo o recursos?1,¿Que soluciones crees que podrían ayudar a mejorar los hábitos alimenticios de tu familia?1,¿Estarias interesado/a en recibir ayuda o recursos sobre  como mejorar la alimentación en tu hogar?,"En su hogar, ¿quién es principalmente la persona que decide y prepara la comida para sus hijos?","Siendo padre/madre soltero, ¿con qué frecuencia siente que el tiempo disponible limita su capacidad para preparar comidas caseras?",¿cree que su condición de padre/madre soltero influye en...? ....la frecuencia con la que sus hijos consumen comida rápida?,¿cree que su condición de padre/madre soltero influye en...? ....el presupuesto semanal destinado a la alimentación?,¿cree que su condición de padre/madre soltero influye en...? ....la variedad de alimentos saludables en su dieta familiar?,¿Cuáles son los factores principales que hacen más difícil mantener una alimentación equilibrada en su situación?,"¿Qué tipo de apoyo o soluciones cree que serían mas útiles para mejorar la alimentación en su hogar?
","¿Estarías interesado/a en recibir ayuda o recursos sobre cómo mejorar la alimentación en tu hogar?

"
63,12/15/2025 9:58,12/15/2025 10:01,anónimo,,18-30,Diseño,No,,3-4 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,La marca y sabor,Reuniones con familiares/amigos,Neutral,Comprar los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,No,,,,,,,,,,,,,,,,,
64,12/15/2025 10:05,12/15/2025 10:09,anónimo,,Mayor a 50 años,Autoempleado,Si,No,,,,,,,,,,,Si cocinamos en casa,Una vez al mes,No,Galletas y dulces ,No lo he pensado,No,Tal vez,Programas de educación sobre nutrición ,Si,,,,,,,,
65,12/15/2025 10:39,12/15/2025 10:41,anónimo,,18-30,Home office,No,,Mas de 5 veces,No me gusta cocinar,Una vez a la semana ,La marca y sabor,Reuniones con familiares/amigos,Neutral,La planificacion,Si,Programas de educación sobre nutricion,No,,,,,,,,,,,,,,,,,
66,12/15/2025 11:33,12/15/2025 11:35,anónimo,,18-30,No trabajo,No,,3-4 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,Conveniencia y rapidez,Reuniones con familiares/amigos,En desacuerdo,Comprar los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
67,12/15/2025 11:33,12/15/2025 11:39,anónimo,,18-30,Estudiante ,No,,Mas de 5 veces,Si cocino con frecuencia ,Una vez a la semana ,Precio bajo;Conveniencia y rapidez,Fines de semana;Reuniones con familiares/amigos,De acuerdo,La planificacion,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
68,12/15/2025 12:30,12/15/2025 12:32,anónimo,,18-30,Maestría SECIHTI / Talacha,No,,1-2 veces,No tengo tiempo debido al trabajo ,Una vez a la semana ,Que sea saludable,Reuniones con familiares/amigos,Neutral,El precio de los ingredientes,Si,Menos horas de trabajo,Si,,,,,,,,,,,,,,,,,
69,12/15/2025 12:17,12/15/2025 12:47,anónimo,,18-30,Estudiante ,No,,1-2 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,Precio bajo,Después de trabajar tarde,De acuerdo,El precio de los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
70,12/15/2025 12:51,12/15/2025 12:53,anónimo,,18-30,Mecanica,No,,3-4 veces,No tengo tiempo debido al trabajo ;No me gusta cocinar,2-3 veces a la semana,Conveniencia y rapidez;Que sea saludable,Fines de semana,En desacuerdo,La planificacion,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
71,12/15/2025 12:55,12/15/2025 12:58,anónimo,,18-30,Arquitectura ,No,,Nunca,No tengo tiempo debido al trabajo ;No me gusta cocinar,Una vez a la semana ,Precio bajo;Conveniencia y rapidez;Que sea saludable,Después de trabajar tarde,En desacuerdo,El precio de los ingredientes,Si,Menos horas de trabajo;Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
72,12/15/2025 13:11,12/15/2025 13:14,anónimo,,31-40,Oficina ,No,,Nunca,Prefiero comprar comida ya preparada,2-3 veces a la semana,Conveniencia y rapidez,Fines de semana,En desacuerdo,Tiempo ,Si,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
73,12/15/2025 12:30,12/15/2025 13:52,anónimo,,18-30,programador,No,,Mas de 5 veces,Mi mamá cocina,Una vez a la semana ,La marca y sabor,Fines de semana,Neutral,Comprar los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
74,12/15/2025 14:11,12/15/2025 14:13,anónimo,,18-30,Trabajo en computadora no tanto físicos ,No,,Nunca,No tengo tiempo debido al trabajo ;Prefiero comprar comida ya preparada,2-3 veces a la semana,Conveniencia y rapidez,Fines de semana,Neutral,La planificacion,Tal vez,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
75,12/15/2025 14:29,12/15/2025 14:31,anónimo,,41-50,Limpieza,Si,No,,,,,,,,,,,Conveniencia,Una vez a la semana,No,Chips y botanas;Bebidas azucaradas,Algo preocupado,No,Tal vez,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,
76,12/15/2025 15:36,12/15/2025 15:38,anónimo,,18-30,Estudiando,No,,3-4 veces,No tengo tiempo debido al trabajo ;No me gusta cocinar;Prefiero comprar comida ya preparada,2-3 veces a la semana,La marca y sabor,Después de trabajar tarde,Neutral,Comprar los ingredientes,Si,Menos horas de trabajo,Si,,,,,,,,,,,,,,,,,
77,12/15/2025 15:46,12/15/2025 15:48,anónimo,,18-30,Sin trabajo,No,,1-2 veces,No me gusta cocinar;Prefiero comprar comida ya preparada,2-3 veces a la semana,La marca y sabor;Que sea saludable,Fines de semana,De acuerdo,La planificacion,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
78,12/15/2025 15:46,12/15/2025 15:49,anónimo,,18-30,Redes sociales ,No,,3-4 veces,No tengo tiempo debido al trabajo ,Una vez a la semana ,La marca y sabor;Que sea saludable,Fines de semana;Reuniones con familiares/amigos,Neutral,El precio de los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
79,12/15/2025 16:47,12/15/2025 16:50,anónimo,,18-30,Estudiante ,No,,Mas de 5 veces,Prefiero comprar comida ya preparada,Una vez a la semana ,Conveniencia y rapidez,Reuniones con familiares/amigos,Muy en desacuerdo,Comprar los ingredientes,Si,Menos horas de trabajo,Si,,,,,,,,,,,,,,,,,
80,12/15/2025 16:55,12/15/2025 16:58,anónimo,,18-30,No trabajo,No,,1-2 veces,Yo no cocino porque estoy en la universidad ,2-3 veces a la semana,La marca y sabor,Reuniones con familiares/amigos,Neutral,Comprar los ingredientes,Si,Mayor acceso a alimentos saludables y económicos ,Tal vez,,,,,,,,,,,,,,,,,
81,12/15/2025 16:59,12/15/2025 17:03,anónimo,,18-30,Agronomia,No,,Mas de 5 veces,No me gusta cocinar,2-3 veces a la semana,La marca y sabor;Precio bajo,Después de trabajar tarde;Fines de semana,Neutral,Comprar los ingredientes,Tal vez,Mayor acceso a alimentos saludables y económicos ,Si,,,,,,,,,,,,,,,,,
82,12/15/2025 16:59,12/15/2025 17:03,anónimo,,18-30,Estudiante,No,,1-2 veces,No me gusta cocinar;Prefiero comprar comida ya preparada,Una vez a la semana ,La marca y sabor;Precio bajo,Fines de semana;Reuniones con familiares/amigos,Neutral,La planificacion,Tal vez,Menos horas de trabajo,Tal vez,,,,,,,,,,,,,,,,,
83,12/15/2025 17:04,12/15/2025 17:14,anónimo,,18-30,Estudiante ,No,,3-4 veces,No tengo tiempo debido al trabajo ,2-3 veces a la semana,La marca y sabor,Fines de semana,Neutral,El precio de los ingredientes,Si,Menos horas de trabajo,Si,,,,,,,,,,,,,,,,,
84,12/15/2025 17:19,12/15/2025 17:22,anónimo,,Menor de 18 años ,Ninguno,No,,Mas de 5 veces,Prefiero comprar comida ya preparada,Una vez a la semana ,Precio bajo;La marca y sabor,Falta de tiempo,Neutral,Comprar los ingredientes,Si,Programas de educación sobre nutricion,Si,,,,,,,,,,,,,,,,,
85,12/15/2025 17:37,12/15/2025 17:39,anónimo,,18-30,Estudios,No,,Nunca,No me gusta cocinar,Una vez a la semana ,La marca y sabor,Fines de semana,En desacuerdo,La planificacion,Si,Menos horas de trabajo,Si,,,,,,,,,,,,,,,,,
