age,cooking_freq,work_type,is_parent,willingness_change,fast_cheap_pref,junk_food_freq,Estado,Codigo,Poblacion,Abarrotes_DENUE,Densidad_Tiendas_per_1000,Diabetes_Prevalencia,Obesidad_Prevalencia,Sobrepeso_Prevalencia,Ingreso_Promedio_Trimestral,Gasto_Alimentos_Pct,Indice_Marginacion,Grado_Marginacion,Pct_Urbano,Tasa_Pobreza
24,1.5,1,0,1.0,3.0,0.0,Ciudad de Mexico,CDMX,9209944,86227,9.36,17.5,35.7,38.4,98765,27.3,-1.452,Muy Bajo,99.8,21.1
24,1.5,0,0,1.0,3.0,2.942098837054279,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,1.5,1,0,1.0,4.0,4.000518501776561,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,1.5,2,0,1.0,4.0,5.026461529449948,Colima,COL,731391,9543,13.05,18.7,41.2,38.5,67234,30.8,-0.512,Bajo,89.2,21.7
24,3.5,2,0,1.0,3.0,0.0,Ciudad de Mexico,CDMX,9209944,86227,9.36,17.5,35.7,38.4,98765,27.3,-1.452,Muy Bajo,99.8,21.1
24,3.5,1,0,1.0,2.0,2.3320418209730396,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,0.0,0,0,1.0,3.0,6.004160266918871,San Luis Potosi,SLP,2822255,38453,13.63,18.5,40.2,38.5,55456,32.3,0.321,Medio,67.5,34.7
24,1.5,1,0,1.0,3.0,7.0,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,6.0,1,0,1.0,4.0,2.6695154084031687,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
24,6.0,1,0,1.0,3.0,5.94468648009285,Puebla,PUE,6583278,86160,13.09,17.4,37.8,38.5,52341,33.8,0.789,Alto,72.1,54.0
16,1.5,0,0,0.5,1.0,5.2160066021497835,Morelos,MOR,1971520,28765,14.59,18.2,39.8,38.3,58432,33.1,-0.183,Medio,84.5,46.1
24,1.5,0,0,1.0,2.0,2.1338105858941425,Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
24,1.5,1,0,1.0,2.0,6.8194763504873475,Veracruz,VER,8062579,108543,13.46,17.2,37.5,38.4,48345,34.5,1.123,Alto,61.3,51.9
24,3.5,1,0,1.0,3.0,4.964902082800589,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,0.0,0,0,0.5,5.0,7.0,San Luis Potosi,SLP,2822255,38453,13.63,18.5,40.2,38.5,55456,32.3,0.321,Medio,67.5,34.7
16,6.0,1,0,1.0,3.0,4.69112239073906,Tabasco,TAB,2402598,32145,13.38,18.4,42.1,38.9,52341,33.5,0.234,Medio,57.1,46.5
24,6.0,3,0,1.0,2.0,0.0,Nuevo Leon,NL,5784442,52341,9.05,18.7,42.4,40.2,98452,26.8,-1.483,Muy Bajo,95.0,24.3
24,6.0,1,0,1.0,3.0,2.7315704247045844,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,1.5,1,0,1.0,2.0,5.356139535758222,San Luis Potosi,SLP,2822255,38453,13.63,18.5,40.2,38.5,55456,32.3,0.321,Medio,67.5,34.7
24,1.5,2,0,1.0,3.0,0.21052363412005032,Nuevo Leon,NL,5784442,52341,9.05,18.7,42.4,40.2,98452,26.8,-1.483,Muy Bajo,95.0,24.3
24,1.5,2,0,1.0,4.0,2.974939391242961,Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
24,6.0,0,0,1.0,1.0,4.134053925304773,Zacatecas,ZAC,1622138,22341,13.77,17.8,39.5,38.2,51234,33.5,0.456,Alto,59.2,40.0
24,1.5,2,0,1.0,3.0,3.450609780104526,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,1.5,0,0,1.0,2.0,5.026651869941521,Tabasco,TAB,2402598,32145,13.38,18.4,42.1,38.9,52341,33.5,0.234,Medio,57.1,46.5
35,1.5,2,0,0.0,1.0,0.0,Ciudad de Mexico,CDMX,9209944,86227,9.36,17.5,35.7,38.4,98765,27.3,-1.452,Muy Bajo,99.8,21.1
58,3.5,2,0,0.0,2.0,1.6048964475158272,Queretaro,QRO,2368467,28543,12.05,18.1,40.5,38.2,72134,29.5,-0.832,Bajo,79.8,27.6
24,6.0,2,0,1.0,3.0,2.252732489367364,Queretaro,QRO,2368467,28543,12.05,18.1,40.5,38.2,72134,29.5,-0.832,Bajo,79.8,27.6
24,3.5,2,0,1.0,2.0,4.251826505589909,San Luis Potosi,SLP,2822255,38453,13.63,18.5,40.2,38.5,55456,32.3,0.321,Medio,67.5,34.7
24,6.0,1,0,1.0,3.0,2.682607376080672,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
24,6.0,2,0,1.0,1.0,3.084560302630873,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
45,3.5,1,0,1.0,2.0,2.3388942488155418,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
24,3.5,2,0,1.0,1.0,0.8462026382001906,Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
35,3.5,2,0,1.0,1.0,3.9345348187923475,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,3.5,2,0,1.0,3.0,2.9027147502937067,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,3.5,2,0,0.5,4.0,4.982746888289078,San Luis Potosi,SLP,2822255,38453,13.63,18.5,40.2,38.5,55456,32.3,0.321,Medio,67.5,34.7
24,3.5,2,0,1.0,3.0,2.496898775892193,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,6.0,2,0,1.0,3.0,3.017388667327619,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,3.5,0,0,1.0,2.0,2.641259469620801,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,6.0,1,0,1.0,4.0,2.907590659866211,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,1.5,2,0,1.0,3.0,1.5094789115401697,Sonora,SON,2944840,29854,10.14,19.2,43.5,40.1,72345,29.2,-0.823,Bajo,87.1,27.9
24,1.5,1,0,1.0,4.0,6.9293098687793195,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,3.5,2,0,1.0,2.0,3.2099695591262063,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,0.0,2,0,1.0,2.0,6.069523479614233,San Luis Potosi,SLP,2822255,38453,13.63,18.5,40.2,38.5,55456,32.3,0.321,Medio,67.5,34.7
35,0.0,3,0,1.0,2.0,5.052385247025537,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,6.0,2,0,1.0,3.0,2.388969786860315,Chihuahua,CHIH,3741869,42876,11.46,18.9,43.5,39.8,71543,29.8,-0.654,Bajo,84.5,22.3
24,0.0,2,0,0.5,3.0,3.583656413574664,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,3.5,1,0,1.0,3.0,4.110785616332903,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,1.5,0,0,1.0,4.0,3.4444970021998196,Queretaro,QRO,2368467,28543,12.05,18.1,40.5,38.2,72134,29.5,-0.832,Bajo,79.8,27.6
24,3.5,2,0,1.0,3.0,5.697733276313671,San Luis Potosi,SLP,2822255,38453,13.63,18.5,40.2,38.5,55456,32.3,0.321,Medio,67.5,34.7
24,6.0,1,0,1.0,1.0,4.2290079607969515,Morelos,MOR,1971520,28765,14.59,18.2,39.8,38.3,58432,33.1,-0.183,Medio,84.5,46.1
24,1.5,0,0,1.0,3.0,0.0,Ciudad de Mexico,CDMX,9209944,86227,9.36,17.5,35.7,38.4,98765,27.3,-1.452,Muy Bajo,99.8,21.1
24,6.0,2,0,0.5,3.0,4.001720618040448,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,1.5,1,0,0.5,3.0,3.4780375957696577,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,3.5,1,0,1.0,3.0,0.0,Nuevo Leon,NL,5784442,52341,9.05,18.7,42.4,40.2,98452,26.8,-1.483,Muy Bajo,95.0,24.3
16,6.0,0,0,1.0,3.0,0.0,Nuevo Leon,NL,5784442,52341,9.05,18.7,42.4,40.2,98452,26.8,-1.483,Muy Bajo,95.0,24.3
24,0.0,2,0,1.0,2.0,3.8641294083573094,Guanajuato,GTO,6166934,78432,12.72,17.8,39.2,38.1,57892,32.4,0.123,Medio,73.5,38.4
24,1.5,2,0,1.0,4.0,3.5311871754593813,Aguascalientes,AGS,1425607,18234,12.79,18.5,42.3,38.5,69842,30.2,-0.973,Bajo,82.1,21.8
24,3.5,2,0,1.0,2.0,2.036438857325134,Queretaro,QRO,2368467,28543,12.05,18.1,40.5,38.2,72134,29.5,-0.832,Bajo,79.8,27.6
24,1.5,1,0,1.0,3.0,2.3888461774011835,Jalisco,JAL,8348151,89234,10.69,18.4,40.5,38.6,72145,29.4,-0.945,Bajo,87.1,30.4
24,1.5,2,0,1.0,5.0,6.866117097069408,Puebla,PUE,6583278,86160,13.09,17.4,37.8,38.5,52341,33.8,0.789,Alto,72.1,54.0
24,3.5,2,0,1.0,3.0,3.3076927511585694,Estado de Mexico,EDOMEX,16992418,185069,10.89,18.6,38.4,40.2,68754,31.5,-0.578,Bajo,87.3,40.5
24,6.0,1,0,1.0,4.0,5.833460567110272,Zacatecas,ZAC,1622138,22341,13.77,17.8,39.5,38.2,51234,33.5,0.456,Alto,59.2,40.0
24,1.5,0,0,1.0,3.0,6.080537738998583,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
24,1.5,1,0,1.0,4.0,0.0,Ciudad de Mexico,CDMX,9209944,86227,9.36,17.5,35.7,38.4,98765,27.3,-1.452,Muy Bajo,99.8,21.1
24,0.0,2,0,0.0,2.0,0.0,Ciudad de Mexico,CDMX,9209944,86227,9.36,17.5,35.7,38.4,98765,27.3,-1.452,Muy Bajo,99.8,21.1
24,1.5,2,0,1.0,3.0,0.2051333793432739,Nuevo Leon,NL,5784442,52341,9.05,18.7,42.4,40.2,98452,26.8,-1.483,Muy Bajo,95.0,24.3
24,1.5,2,0,1.0,2.0,6.237165408578889,Tabasco,TAB,2402598,32145,13.38,18.4,42.1,38.9,52341,33.5,0.234,Medio,57.1,46.5
24,1.5,0,0,1.0,5.0,3.1711311193744076,Jalisco,JAL,8348151,89234,10.69,18.4,40.5,38.6,72145,29.4,-0.945,Bajo,87.1,30.4
16,0.0,2,0,1.0,2.0,5.898209149982115,Hidalgo,HGO,3082841,40876,13.26,17.9,37.4,38.7,52341,33.5,0.521,Alto,53.2,46.5
