"ID","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"9237965","CADENA COMERCIAL OXXO","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","Palmas","CALLE","Cordillera","CALLE","Arándano","AVENIDA","PALMAS","0","SN",,,"0",,"FRACCIONAMIENTO","PALMAS 6 SECTOR",,,,"66145","19","NUEVO LEÓN   ","006","Apodaca","0001","Ciudad Apodaca","1223","042",,,,"Fijo","25.80081566","-100.26785959","2020-04"
"3013129","CADENA COMERCIAL OXXO","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","Miguel Alemán","AVENIDA","MIGUEL ALEMAN","AVENIDA","MONTAñA","CALLE","3","277",,,,"0",,"COLONIA","INFONAVIT",,,,"66354","19","NUEVO LEÓN   ","048","Santa Catarina","0001","Ciudad Santa Catarina","062A","001","8119527973",,,"Fijo","25.65920555","-100.45642681","2014-12"
"6729832","CADENA COMERCIAL OXXO SA DE CV","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","Hacienda el Palmar","CALLE","Hacienda San Carlos","OTRO (ESPECIFIQUE)","HACIENDA SAN CARLOS","OTRO (ESPECIFIQUE)","Ninguno","801",,,,"0",,"COLONIA","BOSQUES DE LA HUASTECA",,,,"66354","19","NUEVO LEÓN   ","048","Santa Catarina","0001","Ciudad Santa Catarina","1543","002",,,,"Fijo","25.70390198","-100.50700136","2016-01"
"6781916","COMERCIO AL POR MENOR EN MINISÚPER","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","OTRO (ESPECIFIQUE)","Vía Málaga","OTRO (ESPECIFIQUE)","VÍA ALCALÁ","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","3001",,,,"0",,"NINGUNO","MAS PALOMAS VALLE SANT",,,,"64780","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","2186","007",,,,"Fijo","25.6345225","-100.28418212","2017-03"
"6781112","COMERCIO AL POR MENOR EN MINISÚPER","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","CALLE","FLAVIO GALINDO","CALLE","ALLENDE","CALLE","AQUILES SERDÁN","OTRO (ESPECIFIQUE)","NINGUNO","301",,,,,,"COLONIA","CENTRO",,,,,"19","NUEVO LEÓN   ","023","General Treviño","0001","General Treviño","0122","007",,,,"Fijo","26.21858004","-99.48378852","2017-03"
"6788296","COMERCIO AL POR MENOR EN MINISÚPER","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","OTRO (ESPECIFIQUE)","Carlos Salinas de Gortari","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","SAN FRANCISCO","OTRO (ESPECIFIQUE)","Ninguno","0","SN",,,"0",,"NINGUNO","RESID APODACA 1S",,,,"66634","19","NUEVO LEÓN   ","006","Apodaca","0001","Ciudad Apodaca","0954","001",,,,"Fijo","25.77020899","-100.19486741","2017-03"
"6235785","GASOLINERIAS OXXO GAS ESTACIÓN 8307","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas",,"Monterrey-Saltillo","OTRO (ESPECIFIQUE)","ANTIGUO CAMINO A VILLA DE GARCÍA","CALLE","NINGUNO","CALLE","NINGUNO","0","SN",,,"0",,"COLONIA","NORBERTO AGUIRRE",,,,"66350","19","NUEVO LEÓN   ","048","Santa Catarina","0001","Ciudad Santa Catarina","016A","078",,,,"Fijo","25.68568746","-100.46857","2010-07"
"9288396","OXX0","CADENA COMERCIAL OXXO ","462111","Comercio al por menor en supermercados","0 a 5 personas","ANDADOR","NINGUNO","OTRO (ESPECIFIQUE)","CIRCUITO INTERIOR","OTRO (ESPECIFIQUE)","ANDADOR","ANDADOR","NINGUNO",,"SN",,"PLANTA BAJA",,,"CONJUNTO HABITACIONAL","RESIDENCIAL VIA CORDILLERA","EDIFICIO COMERCIAL Y DE SERVICIOS","ANA SUR",,"66196","19","NUEVO LEÓN   ","048","Santa Catarina","0001","Ciudad Santa Catarina","0333","058",,,,"Fijo","25.65871605","-100.43983952","2020-11"
"9280217","OXXO","CADENA COMERCIAL OXXO SA DE CV","462112","Comercio al por menor en minisupers","6 a 10 personas","AVENIDA","GENERAL EMILIANO ZAPATA","CALLE","GENERAL FELIPE ÁNGELES","AVENIDA","DIVISION DEL NORTE","AVENIDA","DIVISIÓN DEL NORTE","102","SN",,,,,"COLONIA","REVOLUCION",,,,,"19","NUEVO LEÓN   ","019","San Pedro Garza García","0001","San Pedro Garza García","0327","013",,,,"Fijo","25.68214373","-100.41130294","2020-11"
"9289687","OXXO","CADENA COMERCIAL OXXO SA DE CV","462111","Comercio al por menor en supermercados","0 a 5 personas","AVENIDA","MIGUEL HIDALGO Y COSTILLA","CALLE","GENERAL JERONIMO TREVIÑO","CALLE","AQUILES SERDAN","CALLE","FRANCISCO I. MADERO",,"SN",,,,,"COLONIA","CENTRO",,,,"67700","19","NUEVO LEÓN   ","033","Linares","0001","Linares","0631","033",,,,"Fijo","24.85454404","-99.56975166","2020-11"
"9291182","OXXO","CADENA COMERCIAL OXXO SA DE CV","462111","Comercio al por menor en supermercados","0 a 5 personas","AVENIDA","SANTA LUCIA","CALLE","ALBERTO DEL CANTO","CALLE","VALLE DE SANTA LUCIA","CALLE","NINGUNO",,"SN",,,,,"FRACCIONAMIENTO","SANTA LUCIA",,,,"65550","19","NUEVO LEÓN   ","012","Ciénega de Flores","0211","Real del Sol","0383","006",,,,"Fijo","25.9398527","-100.1866277","2020-11"
"9311232","OXXO","CADENA COMERCIAL OXXO SA DE CV","462111","Comercio al por menor en supermercados","0 a 5 personas","PROLONGACION","SAN ALBERTO","OTRO (ESPECIFIQUE)","BARDA","PRIVADA","NINGUNO","CALLE","PARTE AGUAS","417",,,"PLANTA BAJA",,,"COLONIA","VISTA REAL","EDIFICIO COMERCIAL Y DE SERVICIOS","PLAZA KALAH",,"66266","19","NUEVO LEÓN   ","019","San Pedro Garza García","0001","San Pedro Garza García","0365","004",,,,"Fijo","25.65609851","-100.33583603","2020-11"
"9312423","OXXO","CADENA COMERCIAL OXXO SA DE CV","462111","Comercio al por menor en supermercados","0 a 5 personas","CALLE","SOR JUANA INES DE LA CRUZ","CALLE","JAZMIN","CALLE","TULIPAN","CALLE","AZUCENA",,"SN",,,,,"FRACCIONAMIENTO","PASEO DEL NOGAL",,,,"66000","19","NUEVO LEÓN   ","018","García","0001","García","0230","021",,,,"Fijo","25.7958673","-100.59030258","2020-11"
"9315373","OXXO","CADENA COMERCIAL OXXO ","462111","Comercio al por menor en supermercados","0 a 5 personas","AVENIDA","MONTES BERNESES","AVENIDA","AVENIDA DEL JARDIN","CALLE","CALLE DEL PALACIO","CALLE","CALLE DEL COLEGIO","1102",,,,,,"COLONIA","VALLE DE LAS FLORES",,,,"66438","19","NUEVO LEÓN   ","046","San Nicolás de los Garza","0001","San Nicolás de los Garza","0907","011",,,,"Fijo","25.75603629","-100.26606492","2020-11"
"9330281","OXXO GAS","OXXO GAS ","468411","Comercio al por menor de gasolina y diesel","0 a 5 personas","AVENIDA","LAZARO CARDENAS","CALLE","NINGUNO","CALLE","NINGUNO","OTRO (ESPECIFIQUE)","N/A",,"SN",,,,,"COLONIA","REEAL AN AGUSTIN",,,,"66220","19","NUEVO LEÓN   ","019","San Pedro Garza García","0001","San Pedro Garza García","0399","024",,,,"Fijo","25.64906284","-100.3297773","2020-11"
"6234782","OXXO GAS","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","THOMAS ALVA EDISON","CALLE","JOSÉ MIGUEL DOMÍNGUEZ","CALLE","PROLONGACIÓN CRISTÓBAL COLÓN","AVENIDA","VENUSTIANO CARRANZA","1301",,,,,,"COLONIA","TALLERES",,,,"64480","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1192","043",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.68833261","-100.33289977","2010-07"
"9298677","OXXO GAS 50013","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","AVENIDA","TEOFILO SALINAS GARZA","AVENIDA","LICENCIADO ARTURO B. DE LA GARZA","CALLE","GENERAL LAZARO GARZA AYALA","CALLE","PEDRO GARZA OCHOA","100",,,,,,"COLONIA","CENTRO",,,,,"19","NUEVO LEÓN   ","031","Juárez","0001","Ciudad Benito Juárez","0162","015",,,,"Fijo","25.64195555","-100.08873137","2020-11"
"9294345","OXXO GAS CUMBRES DEL SOL","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","AVENIDA","PASEO DE LOS LEONES","CALLE","CUMBRES DEL SOL","AVENIDA","NINGUNO","AVENIDA","PASEO DE LOS LEONES","9800",,,,"0",,"COLONIA","CUMBRES DEL SOL",,,,,"19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","5212","030","0",,,"Fijo","25.74149305","-100.41444892","2020-11"
"6713740","OXXO GAS E 12322","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas",,"herberto castillo","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","OTRO (ESPECIFIQUE)","NINGUNO","0","DOMICILIO CONOCIDO",,,"0",,"PUERTO","LAS AMÉRICAS",,,,"66000","19","NUEVO LEÓN   ","018","García","0015","El Durazno","0207","003",,,,"Fijo","25.74790241","-100.52827556","2016-01"
"9282101","OXXO GAS LA SILLA II","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","AVENIDA","PABLO LIVAS","AVENIDA","MAESTRO ISRAEL CAVAZOS GARZA","AVENIDA","XOCHIMILCO","PRIVADA","LA SIERRA","7601",,,,,,"FRACCIONAMIENTO","PARQUE INDUSTRIAL LA SILLA",,,,"67190","19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","2510","007",,,,"Fijo","25.65570188","-100.18256659","2020-11"
"2937160","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","Acapulco","CALLE","Puerto San Blas","CALLE","Puerto Vallarta","CALLE","Bahía de Vizcaíno","4600",,,,"0",,"NINGUNO","NINGUNO",,,,"64780","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","2307","029",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.62233209","-100.28141586","2014-12"
"3045239","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","6 a 10 personas","CALLE","Progreso","CALLE","Bustamante","CALLE","Abasolo","CALLE","Mina","111",,,,"0",,"NINGUNO","NINGUNO",,,,"67500","19","NUEVO LEÓN   ","038","Montemorelos","0001","Montemorelos","0407","011",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.18796657","-99.83124733","2010-07"
"2969116","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","6 a 10 personas","CALLE","José María Arteaga","CALLE","José Mariano Jiménez","CALLE","Juan Nepomuceno Méndez","CALZADA","Francisco I. Madero","957",,,,"0",,"NINGUNO","NINGUNO",,,,"64000","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1506","023",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.68341236","-100.31581166","2014-12"
"9319794","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","0 a 5 personas","CALLE","SAN JERONIMO",,,,,,,"1001",,,,,,"NINGUNO","NINGUNO",,,,"99999","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1629","017",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.67552058","-100.36396038","2020-11"
"9319795","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","0 a 5 personas","CALLE","RUIZ CORTINES PONIENTE",,,,,,,"723",,,,,,"NINGUNO","NINGUNO",,,,"99999","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","0620","033",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.70819005","-100.35573996","2020-11"
"6217098","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","6 a 10 personas","CALLE","Churubusco","CALLE","Ingeniero Francisco Beltrán","CALLE","Vía Tampico","OTRO (ESPECIFIQUE)","Sin Referencia","750",,,,"0",,"NINGUNO","NINGUNO",,,,"64560","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1366","001",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.69179698","-100.26855953","2010-07"
"9319796","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","0 a 5 personas","CALLE","AARON SAENZ GARZA",,,,,,,"1349",,,,,,"NINGUNO","NINGUNO",,,,"99999","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","3964","002",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.67486958","-100.3720443","2020-11"
"6217114","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","0 a 5 personas","CALLE","Prolongación Madero","AVENIDA","Churubusco","CALLE","Santa Catarina","CALLE","Jesús M. Garza","4345",,,,"0",,"NINGUNO","NINGUNO",,,,"64590","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","139A","012",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.6858725","-100.26879181","2010-07"
"9238455","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","Benito Juárez","BOULEVARD","Licenciado José López Portillo","OTRO (ESPECIFIQUE)","Ninguno","OTRO (ESPECIFIQUE)","Ninguno","312",,,,"0",,"NINGUNO","NINGUNO",,,,"66054","19","NUEVO LEÓN   ","021","General Escobedo","0001","Ciudad General Escobedo","1817","013",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.78073238","-100.28521853","2020-04"
"9239212","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","Abraham Lincoln","CALLE","Antiguos Ejidatarios","CALLE","Camino del Pastizal","CALLE","Ninguno","5797",,,,"0",,"NINGUNO","NINGUNO",,,,"64103","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","5068","021",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.76805511","-100.41532315","2020-04"
"9239213","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","Miguel Hidalgo y Costilla","CALLE","Ángela Peralta","CALLE","20 de Noviembre","CALLE","Juventino Rosas","1477",,,,"0",,"NINGUNO","NINGUNO",,,,"66000","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","4159","016",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.67020171","-100.33579998","2020-04"
"9239216","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","Chapultepec","CALLE","Agustín Lara Norte","CALLE","Elías Reynoso Santana","CALLE","Nueva Progreso","1833",,,,"0",,"NINGUNO","NINGUNO",,,,"64800","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","2754","036",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.66680151","-100.28036687","2020-04"
"9239218","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","Vicente Guerrero","AVENIDA","Cristóbal Colón","CALLE","Democracia","CALLE","Benito Juárez","1234",,,,"0",,"NINGUNO","NINGUNO",,,,"64780","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1258","024",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.68669761","-100.312043","2020-04"
"9239221","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","José María Pino Suárez","AVENIDA","Cristóbal Colón","CALZADA","Guadalupe Victoria","CALLE","Villagómez Norte","1628",,,,"0",,"NINGUNO","NINGUNO",,,,"64440","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1243","002",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.6894142","-100.31695063","2020-04"
"9239224","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","Chapultepec","CALLE","Agustín Lara","CALLE","Francisco Villa","CALLE","Miguel de Cervantes Saavedra","1836",,,,"0",,"NINGUNO","NINGUNO",,,,"64800","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1807","026",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.66657758","-100.27962647","2020-04"
"9239225","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","Luis Donaldo Colosio Murrieta","CALLE","Tajo","CALLE","Badalona","CALLE","San Sebastián","716",,,,"0",,"NINGUNO","NINGUNO",,,,"64102","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","4430","061",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.76783189","-100.39377847","2020-04"
"9239737","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","Rómulo Garza","AVENIDA","Constitución","AVENIDA","Conductores","AVENIDA","Calzada Unión","600",,,,"0",,"NINGUNO","NINGUNO",,,,"66495","19","NUEVO LEÓN   ","046","San Nicolás de los Garza","0001","San Nicolás de los Garza","1619","004",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.71491694","-100.25257893","2020-04"
"9239738","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CALLE","Licenciado Jorge A. Treviño","CALLE","La Gloria","AVENIDA","República Mexicana","CALLE","Eulogio Treviño","689",,,,"0",,"NINGUNO","NINGUNO",,,,"66460","19","NUEVO LEÓN   ","046","San Nicolás de los Garza","0001","San Nicolás de los Garza","1394","017",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.74881956","-100.28075951","2020-04"
"9239940","OXXO GAS SUC.","SERVICIOS GASOLINEROS DE MEXICO SA DE CV","468411","Comercio al por menor de gasolina y diesel","11 a 30 personas","CARRETERA","Carretera Nacional","CALLE","Andrés Marroquín","CALLE","Ninguno","OTRO (ESPECIFIQUE)","Sin Referencia","103",,,,"0",,"NINGUNO","NINGUNO",,,,"67300","19","NUEVO LEÓN   ","049","Santiago","0001","Santiago","0307","029",,"ATENCIONCLIENTES@OXXOGAS.COM","WWW.OXXOGAS.COM","Fijo","25.41354188","-100.14056082","2020-04"
